original_title,year,genre,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,budget,usa_gross_income,USA Profit
Jurassic World,2015,"Action, Adventure, Sci-Fi",124,USA,English,Colin Trevorrow,"Rick Jaffa, Amanda Silver","Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Ty Simpkins, Nick Robinson, Jake Johnson, Omar Sy, BD Wong, Judy Greer, Lauren Lapkus, Brian Tee, Katie McGrath, Andy Buckley, Eric Edelstein",Chris Pratt,"Chris Pratt, Bryce Dallas Howard","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.","A new theme park, built on the",7,569512,150000000,652270625,502270625
Monster-in-Law,2005,"Comedy, Romance",101,"USA, Germany",English,Robert Luketic,Anya Kochoff,"Jennifer Lopez, Jane Fonda, Michael Vartan, Wanda Sykes, Adam Scott, Monet Mazur, Annie Parisse, Will Arnett, Elaine Stritch, Stephen Dunham, Randee Heller, Mark Moses, Tomiko Fraser, Rochelle Flexer, Wayne Nickel",Jennifer Lopez,"Jennifer Lopez, Jane Fonda","The love life of Charlotte is reduced to an endless string of disastrous blind dates, until she meets the perfect man, Kevin. Unfortunately, his merciless mother will do anything to destroy their relationship.",The love life of Charlotte is,5.6,55526,43000000,82931301,39931301
Ultraviolet,2006,"Action, Sci-Fi",88,USA,English,Kurt Wimmer,Kurt Wimmer,"Milla Jovovich, Cameron Bright, Nick Chinlund, Sebastien Andrieu, Ida Martin, William Fichtner, David E. Collier, Kieran O'Rorke, Digger Mesch, Ryan Martin, Steven Calcote, Ricardo Mamood-Vega, Mike Smith, Clay Cullen, Jennifer Caputo",Milla Jovovich,"Milla Jovovich, Cameron Bright","A beautiful hæmophage infected with a virus that gives her superhuman powers has to protect a boy in a futuristic world, who is thought to be carrying antigens that would destroy all hæmophages.",A beautiful hæmophage infected,4.4,78768,30000000,18535812,-11464188
AVP: Alien vs. Predator,2004,"Action, Adventure, Horror",101,"USA, UK, Czech Republic, Canada, Germany",English,Paul W.S. Anderson,"Dan O'Bannon, Ronald Shusett","Sanaa Lathan, Raoul Bova, Lance Henriksen, Ewen Bremner, Colin Salmon, Tommy Flanagan, Joseph Rye, Agathe de La Boulaye, Carsten Norgaard, Sam Troughton, Petr Jákl, Pavel Bezdek, Kieran Bew, Carsten Voigt, Jan Filipenský",Sanaa Lathan,"Sanaa Lathan, Raoul Bova","During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.",During an archaeological expedition,5.6,181945,60000000,80282231,20282231
Spanglish,2004,"Comedy, Drama, Romance",131,USA,English,James L. Brooks,James L. Brooks,"Adam Sandler, Téa Leoni, Paz Vega, Cloris Leachman, Shelbie Bruce, Sarah Steele, Ian Donovan Hyland, Victoria Luna, Cecilia Suárez, Ricardo Molina, Brenda Canela, Eddy Martin, Nicole Nieth, Jamie Kaler, James Lancaster",Adam Sandler,"Adam Sandler, Téa Leoni","A woman and her daughter emigrate from Mexico for a better life in America, where they start working for a family where the patriarch is a newly celebrated chef with an insecure wife.",A woman and her daughter emigrate,6.4,77478,80000000,42726869,-37273131
Stay,2005,"Drama, Mystery, Thriller",99,USA,English,Marc Forster,David Benioff,"Ewan McGregor, Ryan Gosling, Kate Burton, Naomi Watts, Elizabeth Reaser, Bob Hoskins, Janeane Garofalo, BD Wong, John Tormey, José Ramón Rosario, Becky Ann Baker, Lisa Kron, Gregory Mitchell, John Dominici, Jessica Hecht",Ewan McGregor,"Ewan McGregor, Ryan Gosling",This movie focuses on the attempts of a psychiatrist to prevent one of his patients from committing suicide while trying to maintain his own grip on reality.,This movie focuses on the attempts,6.8,73454,50000000,3626883,-46373117
Chicken Little,2005,"Animation, Adventure, Comedy",81,USA,English,Mark Dindal,"Mark Dindal, Mark Kennedy","Zach Braff, Garry Marshall, Don Knotts, Patrick Stewart, Amy Sedaris, Steve Zahn, Joan Cusack, Wallace Shawn, Harry Shearer, Fred Willard, Catherine O'Hara, Patrick Warburton, Adam West, Mark Walton, Mark Dindal",Zach Braff,"Zach Braff, Garry Marshall","After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.",After ruining his reputation with,5.7,84176,150000000,135386665,-14613335
The Hitchhiker's Guide to the Galaxy,2005,"Adventure, Comedy, Sci-Fi",109,"UK, USA",English,Garth Jennings,"Douglas Adams, Douglas Adams","Bill Bailey, Anna Chancellor, Warwick Davis, Yasiin Bey, Zooey Deschanel, Su Elliot, Martin Freeman, Stephen Fry, Richard Griffiths, Dominique Jackson, Simon Jones, Thomas Lennon, Mark Longhurst, Kelly Macdonald, John Malkovich",Bill Bailey,"Bill Bailey, Anna Chancellor","Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",Mere seconds before the Earth,6.8,184355,50000000,51085416,1085416
Iron Man,2008,"Action, Adventure, Sci-Fi",126,"USA, Canada",English,Jon Favreau,"Mark Fergus, Hawk Ostby","Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb, Shaun Toub, Faran Tahir, Clark Gregg, Bill Smitrovich, Sayed Badreya, Paul Bettany, Jon Favreau, Peter Billingsley, Tim Guinee, Will Lyman",Robert Downey Jr.,"Robert Downey Jr., Terrence Howard","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",After being held captive in an,7.9,920706,140000000,319034126,179034126
The Bourne Supremacy,2004,"Action, Mystery, Thriller",108,"USA, Germany",English,Paul Greengrass,"Robert Ludlum, Tony Gilroy","Matt Damon, Franka Potente, Brian Cox, Julia Stiles, Karl Urban, Gabriel Mann, Joan Allen, Marton Csokas, Tom Gallop, John Bedford Lloyd, Ethan Sandler, Michelle Monaghan, Karel Roden, Tomas Arana, Oksana Akinshina",Matt Damon,"Matt Damon, Franka Potente","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",When Jason Bourne is framed for,7.7,427227,75000000,176241941,101241941
Guess Who,2005,"Comedy, Romance",105,USA,English,Kevin Rodney Sullivan,"William Rose, David Ronn","Bernie Mac, Ashton Kutcher, Zoe Saldana, Judith Scott, Hal Williams, Kellee Stewart, Robert Curtis Brown, RonReaco Lee, Paula Newsome, Phil Reeves, Sherri Shepherd, Nicole Sullivan, Jessica Cauffiel, JoNell Kennedy, Niecy Nash",Bernie Mac,"Bernie Mac, Ashton Kutcher","A young woman, Theresa, brings her boyfriend, Simon, home to meet her parents and surprise them with the news of their engagement. Another surprise: Simon is white.","A young woman, Theresa, brings",5.9,39782,35000000,68915888,33915888
The Wedding Date,2005,"Comedy, Romance",90,"USA, UK",English,Clare Kilner,"Elizabeth Young, Dana Fox","Debra Messing, Dermot Mulroney, Amy Adams, Jack Davenport, Sarah Parish, Jeremy Sheffield, Peter Egan, Holland Taylor, Jolyon James, C. Gerod Harris, Martin Barrett, Jay Simon, Ivana Horvat, Linda Dobell, Helen Lindsay",Debra Messing,"Debra Messing, Dermot Mulroney","Single-girl anxiety causes Kat Ellis to hire a male escort to pose as her boyfriend at her sister's wedding. Her plan, an attempt to dupe her ex-fiancé, who dumped her a couple years prior, proves to be her undoing.",Single-girl anxiety causes Kat,6.2,47567,15000000,31726995,16726995
Team America: World Police,2004,"Action, Comedy",98,"USA, Germany",English,Trey Parker,"Trey Parker, Matt Stone","Trey Parker, Matt Stone, Kristen Miller, Masasa Moyo, Daran Norris, Phil Hendrie, Maurice LaMarche, Chelsea Marguerite, Jeremy Shada, Fred Tatasciore",Trey Parker,"Trey Parker, Matt Stone","Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.",Popular Broadway actor Gary Johnston,7.2,157558,32000000,32786074,786074
Batman Begins,2005,"Action, Adventure",140,"USA, UK",English,Christopher Nolan,"Bob Kane, David S. Goyer","Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman, Cillian Murphy, Tom Wilkinson, Rutger Hauer, Ken Watanabe, Mark Boone Junior, Linus Roache, Morgan Freeman, Larry Holden, Gerard Murphy, Colin McFarlane",Christian Bale,"Christian Bale, Michael Caine","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","After training with his mentor,",8.2,1278075,150000000,206852432,56852432
Journey to the Center of the Earth,2008,"Action, Adventure, Family",93,USA,English,Eric Brevig,"Michael D. Weiss, Jennifer Flackett","Brendan Fraser, Josh Hutcherson, Anita Briem, Seth Meyers, Jean Michel Paré, Jane Wheeler, Frank Fontaine, Giancarlo Caltabiano, Kaniehtiio Horn, Garth Gilker",Brendan Fraser,"Brendan Fraser, Josh Hutcherson","On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",On a quest to find out what happened,5.8,111377,60000000,101704370,41704370
Saints and Soldiers,2003,"Action, Drama, War",90,USA,English,Ryan Little,"Geoffrey Panos, Geoffrey Panos","Corbin Allred, Alexander Polinsky, Kirby Heyborne, Larry Bagby, Peter Holden, Ethan Vincent, Melinda Renee, Ruby Chase, Jeff Birk, Benjamin Gourley, Tane Williams, Randy Beard, Curt Doussett, Michael Buster, M. Casey Reeves",Corbin Allred,"Corbin Allred, Alexander Polinsky",Four American soldiers and one Brit fighting in Europe during World War II struggle to return to Allied territory after being separated from U.S. forces during the historic Malmedy Massacre.,Four American soldiers and one,6.7,19789,780000,1310470,530470
Kiss Kiss Bang Bang,2005,"Action, Comedy, Crime",103,USA,English,Shane Black,"Brett Halliday, Shane Black","Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen, Dash Mihok, Larry Miller, Rockmond Dunbar, Shannyn Sossamon, Angela Lindvall, Indio Falconer Downey, Ariel Winter, Duane Carnahan, Josh Richman, Martha Hackett, Nancy Fish",Robert Downey Jr.,"Robert Downey Jr., Val Kilmer","A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor.",A murder mystery brings together,7.5,211456,15000000,4243756,-10756244
Halloween,2007,Horror,109,USA,English,Rob Zombie,"Rob Zombie, John Carpenter","Malcolm McDowell, Brad Dourif, Tyler Mane, Daeg Faerch, Sheri Moon Zombie, William Forsythe, Richard Lynch, Udo Kier, Clint Howard, Danny Trejo, Lew Temple, Tom Towles, Bill Moseley, Leslie Easterbrook, Steve Boyles",Malcolm McDowell,"Malcolm McDowell, Brad Dourif","After being committed for 17 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution and immediately returns to Haddonfield to find his baby sister, Laurie.","After being committed for 17 years,",6.1,107123,15000000,58272029,43272029
Harry Potter and the Order of the Phoenix,2007,"Action, Adventure, Family",138,"UK, USA",English,David Yates,"Michael Goldenberg, J.K. Rowling","Daniel Radcliffe, Harry Melling, Jason Boyd, Richard Macklin, Kathryn Hunter, Miles Jupp, Fiona Shaw, Richard Griffiths, Jessica Hynes, Adrian Rawlins, Geraldine Somerville, Robert Pattinson, Ralph Fiennes, Natalia Tena, Brendan Gleeson",Daniel Radcliffe,"Daniel Radcliffe, Harry Melling","With their warning about Lord Voldemort's (Ralph Fiennes') return scoffed at, Harry (Daniel Radcliffe) and Dumbledore (Sir Michael Gambon) are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",With their warning about Lord,7.5,494073,150000000,292353413,142353413
The Interpreter,2005,"Crime, Mystery, Thriller",128,"UK, France, Germany, USA",English,Sydney Pollack,"Martin Stellman, Brian Ward","Nicole Kidman, Sean Penn, Catherine Keener, Jesper Christensen, Yvan Attal, Earl Cameron, George Harris, Michael Wright, Clyde Kusatsu, Eric Keenleyside, Hugo Speer, Maz Jobrani, Yusuf Gatewood, Curtiss Cook, Byron Utley",Nicole Kidman,"Nicole Kidman, Sean Penn","Political intrigue and deception unfold inside the United Nations, where a U.S. Secret Service agent is assigned to investigate an interpreter who overhears an assassination plot.",Political intrigue and deception,6.4,96245,80000000,72708161,-7291839
Open Water,2003,"Adventure, Drama, Horror",79,USA,English,Chris Kentis,Chris Kentis,"Blanchard Ryan, Daniel Travis, Saul Stein, Michael E. Williamson, Cristina Zenato, John Charles, Estelle Lau",Blanchard Ryan,"Blanchard Ryan, Daniel Travis",Based on the true story of two scuba divers accidentally stranded in shark infested waters after their tour boat has left.,Based on the true story of two,5.7,50370,500000,30610863,30110863
Bewitched,2005,"Comedy, Fantasy, Romance",102,USA,English,Nora Ephron,"Nora Ephron, Delia Ephron","Nicole Kidman, Will Ferrell, Shirley MacLaine, Michael Caine, Jason Schwartzman, Kristin Chenoweth, Heather Burns, Jim Turner, Stephen Colbert, David Alan Grier, Michael Badalucco, Carole Shelley, Steve Carell, Katie Finneran, James Lipton",Nicole Kidman,"Nicole Kidman, Will Ferrell","Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic sitcom",Thinking he can overshadow an,4.8,67997,85000000,63313159,-21686841
Captivity,2007,"Crime, Drama, Horror",96,"USA, Russia",English,Roland Joffé,"Larry Cohen, Joseph Tura","Elisha Cuthbert, Daniel Gillies, Pruitt Taylor Vince, Michael Harney, Laz Alonso, Maggie Damon, Carl Paoli, Trent Broin",Elisha Cuthbert,"Elisha Cuthbert, Daniel Gillies","A man and a woman awaken to find themselves trapped in a cellar. As their kidnapper drives them mad, the truth about their horrific abduction is revealed.",A man and a woman awaken to find,4.7,22412,17000000,2626800,-14373200
Napoleon Dynamite,2004,Comedy,96,USA,English,Jared Hess,"Jared Hess, Jerusha Hess","Jon Heder, Jon Gries, Aaron Ruell, Efren Ramirez, Diedrich Bader, Tina Majorino, Sandy Martin, Haylie Duff, Trevor Snarr, Shondrella Avery, Bracken Johnson, Carmen Brady, Ellen Dubin, J.C. Cunningham, Jimmy Stevens",Jon Heder,"Jon Heder, Jon Gries","A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",A listless and alienated teenager,6.9,194951,400000,44540956,44140956
Sideways,2004,"Comedy, Drama, Romance",127,"USA, Hungary",English,Alexander Payne,"Rex Pickett, Alexander Payne","Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh, Marylouise Burke, Jessica Hecht, Missy Doty, M.C. Gainey, Alysia Reiner, Shake Tukhmanyan, Shaun Duke, Robert Covarrubias, Patrick Gallagher, Stephanie Faracy, Joe Marinelli",Paul Giamatti,"Paul Giamatti, Thomas Haden Church","Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",Two men reaching middle age with,7.5,177052,16000000,71503593,55503593
Alfie,2004,"Comedy, Drama, Romance",103,"UK, USA",English,Charles Shyer,"Bill Naughton, Bill Naughton","Jude Law, Renée Taylor, Jane Krakowski, Jeff Harding, Marisa Tomei, Kevin Rahm, Max Morris, Omar Epps, Nia Long, Gedde Watanabe, Jo Yang, Tara Summers, Sam Vincenti, Katherine LaNasa, Claudette Mink",Jude Law,"Jude Law, Renée Taylor",A cockney womanizer learns the hard way about the dangers of his actions.,A cockney womanizer learns the,6.2,50110,60000000,13399812,-46600188
White Noise,2005,"Drama, Horror, Mystery",101,"UK, Canada, USA",English,Geoffrey Sax,Niall Johnson,"Michael Keaton, Chandra West, Deborah Kara Unger, Ian McNeice, Sarah Strange, Nicholas Elia, Mike Dopud, Marsha Regis, Brad Sihvon, Mitchell Kosterman, L. Harvey Gold, Amber Rothwell, Suzanne Ristic, Keegan Connor Tracy, Miranda Frigon",Michael Keaton,"Michael Keaton, Chandra West",An architect's desire to speak with his wife from beyond the grave becomes an obsession with supernatural repercussions.,An architect's desire to speak,5.5,46661,10000000,56386759,46386759
Astro Boy,2009,"Animation, Action, Comedy",94,"Japan, Hong Kong, USA",English,David Bowers,"Osamu Tezuka, David Bowers","Charlize Theron, Freddie Highmore, Ryan Stiles, Eugene Levy, Nicolas Cage, Donald Sutherland, Bill Nighy, David Alan Grier, Alan Tudyk, Newell Alexander, Bob Logan, Dee Bradley Baker, Kristen Bell, Moises Arias, Sterling Beaumon",Charlize Theron,"Charlize Theron, Freddie Highmore","When an android replica of a boy is rejected by his aggrieved creator, he goes off to find his own identity in an adventure that would make him the greatest hero of his time.",When an android replica of a boy,6.3,32542,65000000,19551067,-45448933
Crash,2004,"Crime, Drama, Thriller",112,"USA, Germany",English,Paul Haggis,"Paul Haggis, Paul Haggis","Karina Arroyave, Dato Bakhtadze, Sandra Bullock, Don Cheadle, Art Chudabala, Sean C. Cooper, Tony Danza, Keith David, Loretta Devine, Matt Dillon, Jennifer Esposito, Ime Etuk, Eddie J. Fernandez, William Fichtner, Howard Fong",Karina Arroyave,"Karina Arroyave, Dato Bakhtadze","Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",Los Angeles citizens with vastly,7.7,415171,6500000,54580300,48080300
